n_d,n_a,n_steps,gamma,lambda_sparse,optimizer_params,mask_type,train_loss,val_loss,rmse
8,8,3,1.5,0.001,{'lr': 0.1},entmax,0.41750344899415326,0.42852067043452435,0.6546149023926391
8,8,3,1.5,0.001,{'lr': 0.05},entmax,0.4583338568451679,0.45764149355376366,0.6764920498821576
8,8,3,1.5,0.001,{'lr': 0.005},entmax,0.904151139369212,0.5367968049863022,0.7326641829558084
8,8,3,1.5,0.001,{'lr': 0.0005},entmax,1.4022373588002233,1.1709798392221098,1.0821182186905967
8,8,5,1.5,0.001,{'lr': 0.1},entmax,0.48433455146177684,0.47297498771720614,0.6877317701816648
8,8,5,1.5,0.001,{'lr': 0.05},entmax,0.7112460783767133,0.44978428097625156,0.6706595865088723
8,8,5,1.5,0.001,{'lr': 0.005},entmax,1.3395942675133647,1.1962783566614192,1.0937451058914134
8,8,5,1.5,0.001,{'lr': 0.0005},entmax,1.3218316741646683,1.2097523592702866,1.099887430271974
8,16,3,1.5,0.001,{'lr': 0.1},entmax,0.43170056457787553,0.42377202044134793,0.6509777418939513
8,16,3,1.5,0.001,{'lr': 0.05},entmax,0.44185950733382523,0.43075580304324346,0.6563198938347393
8,16,3,1.5,0.001,{'lr': 0.005},entmax,0.4925404626791546,0.48616527492175854,0.6972555305781077
8,16,3,1.5,0.001,{'lr': 0.0005},entmax,1.2114665973931045,1.1896622818722131,1.0907164076295053
8,16,5,1.5,0.001,{'lr': 0.1},entmax,0.47175937735306894,0.4371260555360603,0.6611550918930144
8,16,5,1.5,0.001,{'lr': 0.05},entmax,0.46760708714439386,0.48011697061862213,0.6929047341580385
8,16,5,1.5,0.001,{'lr': 0.005},entmax,1.4905424444439361,3.206604826272566,1.7906995354532724
8,16,5,1.5,0.001,{'lr': 0.0005},entmax,2.0253257953886155,1.8236972095337163,1.3504433381425953
8,32,3,1.5,0.001,{'lr': 0.1},entmax,0.4574252140095104,0.450897907998194,0.6714893208370436
8,32,3,1.5,0.001,{'lr': 0.05},entmax,0.42050280110664356,0.4245123072042758,0.6515460898541835
8,32,3,1.5,0.001,{'lr': 0.005},entmax,1.4009663692430965,1.7383158284511866,1.3184520576991743
8,32,3,1.5,0.001,{'lr': 0.0005},entmax,1.4353815105384782,1.1945578713482146,1.0929583118070947
8,32,5,1.5,0.001,{'lr': 0.1},entmax,0.4658769434778816,0.47693365534805293,0.6906038338642879
8,32,5,1.5,0.001,{'lr': 0.05},entmax,0.44841776002205785,0.4438350181723397,0.6662094401705365
8,32,5,1.5,0.001,{'lr': 0.005},entmax,1.5190779413067863,1.2048686307403518,1.0976650813159503
8,32,5,1.5,0.001,{'lr': 0.0005},entmax,1.2192661977831813,1.2213459878295791,1.1051452338175192
16,8,3,1.5,0.001,{'lr': 0.1},entmax,0.42677676312557844,0.42997386195753756,0.6557239220567888
16,8,3,1.5,0.001,{'lr': 0.05},entmax,0.46788169520360906,0.444510745276919,0.6667163904366826
16,8,3,1.5,0.001,{'lr': 0.005},entmax,0.48096584185516766,0.4656715864312755,0.6824013382396575
16,8,3,1.5,0.001,{'lr': 0.0005},entmax,1.5107894359878744,1.2930202876299617,1.1371104993051298
16,8,5,1.5,0.001,{'lr': 0.1},entmax,0.4609391472524507,0.4632541356048748,0.6806277511274976
16,8,5,1.5,0.001,{'lr': 0.05},entmax,0.4269228619330224,0.4280215390139158,0.6542335508164617
16,8,5,1.5,0.001,{'lr': 0.005},entmax,2.1320005118913032,1.0038059360910876,1.0019011608392754
16,8,5,1.5,0.001,{'lr': 0.0005},entmax,1.240049777043085,1.402885362010183,1.184434617026277
16,16,3,1.5,0.001,{'lr': 0.1},entmax,0.418500631322301,0.41887335350267724,0.6472042594905237
16,16,3,1.5,0.001,{'lr': 0.05},entmax,0.43562839474003356,0.43743440918716364,0.6613882439136363
16,16,3,1.5,0.001,{'lr': 0.005},entmax,0.48415553672200357,0.4803405030575689,0.6930660163776384
16,16,3,1.5,0.001,{'lr': 0.0005},entmax,1.871969853457103,1.1997864084267396,1.095347619902805
16,16,5,1.5,0.001,{'lr': 0.1},entmax,0.44715729255377357,0.447411363080929,0.6688881543882572
16,16,5,1.5,0.001,{'lr': 0.05},entmax,0.45377343480858195,0.45937769265960304,0.6777740719883013
16,16,5,1.5,0.001,{'lr': 0.005},entmax,0.6295277294227204,0.6123196556524172,0.7825085658652033
16,16,5,1.5,0.001,{'lr': 0.0005},entmax,2.8207533622607692,1.2035501222312177,1.0970643200064514
16,32,3,1.5,0.001,{'lr': 0.1},entmax,0.42273822633229047,0.4188223567947732,0.6471648605995023
16,32,3,1.5,0.001,{'lr': 0.05},entmax,0.4064793560218814,0.42398609916371166,0.6511421497366852
16,32,3,1.5,0.001,{'lr': 0.005},entmax,1.756246608701442,1.7407906539401665,1.3193902583921735
16,32,3,1.5,0.001,{'lr': 0.0005},entmax,2.011456684424031,4.001332430705127,2.00033307994072
16,32,5,1.5,0.001,{'lr': 0.1},entmax,0.42532696493257244,0.4270061322915135,0.6534570623166556
16,32,5,1.5,0.001,{'lr': 0.05},entmax,0.4732407819962512,0.44190422240042404,0.6647587700816169
16,32,5,1.5,0.001,{'lr': 0.005},entmax,1.3132337408731225,1.299899672584024,1.1401314277678798
16,32,5,1.5,0.001,{'lr': 0.0005},entmax,1.2622814909259663,1.3201236137053893,1.148966324008406
32,8,3,1.5,0.001,{'lr': 0.1},entmax,0.42039698483965493,0.42333452358010215,0.650641624536966
32,8,3,1.5,0.001,{'lr': 0.05},entmax,0.4531597317134865,0.4387821760374683,0.662406352654825
32,8,3,1.5,0.001,{'lr': 0.005},entmax,0.5113316423379822,0.4686950820207557,0.6846130892852953
32,8,3,1.5,0.001,{'lr': 0.0005},entmax,1.373262118159774,1.3489324583626903,1.161435516230966
32,8,5,1.5,0.001,{'lr': 0.1},entmax,0.4753301288702264,0.46684440744308986,0.6832601316066157
32,8,5,1.5,0.001,{'lr': 0.05},entmax,0.48044346927939924,0.43295659005460996,0.6579943693183171
32,8,5,1.5,0.001,{'lr': 0.005},entmax,1.2410370485950568,1.1700095073001753,1.0816697773813297
32,8,5,1.5,0.001,{'lr': 0.0005},entmax,1.3958704428595088,1.1997514882768305,1.0953316795732837
32,16,3,1.5,0.001,{'lr': 0.1},entmax,0.42783592098287554,0.430392729745679,0.6560432377105025
32,16,3,1.5,0.001,{'lr': 0.05},entmax,0.40478420751282973,0.4218300184512895,0.6494844251029346
32,16,3,1.5,0.001,{'lr': 0.005},entmax,1.5567889952756462,1.6191646022348538,1.272463988580759
32,16,3,1.5,0.001,{'lr': 0.0005},entmax,1.7647911167001942,2.015996341963699,1.419857859774597
32,16,5,1.5,0.001,{'lr': 0.1},entmax,0.4750783479423452,0.4451079259112044,0.6671640921926212
32,16,5,1.5,0.001,{'lr': 0.05},entmax,0.43906062434526916,0.4255749275066185,0.6523610407639457
32,16,5,1.5,0.001,{'lr': 0.005},entmax,2.158849556609428,1.1552251544613759,1.0748140092413085
32,16,5,1.5,0.001,{'lr': 0.0005},entmax,2.706983686672713,1.253273697987696,1.1194970736842933
32,32,3,1.5,0.001,{'lr': 0.1},entmax,0.42047554123196423,0.42910615808759567,0.6550619498090204
32,32,3,1.5,0.001,{'lr': 0.05},entmax,0.46817674947275995,0.45871907057601824,0.6772880263049231
32,32,3,1.5,0.001,{'lr': 0.005},entmax,1.296803396132629,1.158184911866104,1.0761899980329235
32,32,3,1.5,0.001,{'lr': 0.0005},entmax,1.3209985234626331,1.491343667964524,1.2212058253892029
32,32,5,1.5,0.001,{'lr': 0.1},entmax,0.42829476358634144,0.4364511136988363,0.6606444684539758
32,32,5,1.5,0.001,{'lr': 0.05},entmax,0.44185006865449855,0.4353179344699985,0.6597862793890144
32,32,5,1.5,0.001,{'lr': 0.005},entmax,1.2190004852249299,1.092800294954794,1.045370888706393
32,32,5,1.5,0.001,{'lr': 0.0005},entmax,1.2935838272047555,1.200530892094855,1.095687406195241
